"","GEOID","numberCrimes","STATEFP","COUNTYFP","TRACTCE","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","name","state","county","tract","TOTAL","MEDIANHOUSEINCOME","BLACK","UNEMPLOYED","INLABORFORCE","POVERTY"
"104","36067004600",6,"36","067","004600","46","Census Tract 46","G5020","S",3864671,0,"+43.0400611","-076.0977558","Census Tract 46, Onondaga County, New York","36","067","004600",5129,71797,1130,152,2515,602
"105","36067004600",6,"36","067","004600","46","Census Tract 46","G5020","S",3864671,0,"+43.0400611","-076.0977558","Census Tract 46, Onondaga County, New York","36","067","004600",5129,71797,1130,152,2515,602
"106","36067004600",6,"36","067","004600","46","Census Tract 46","G5020","S",3864671,0,"+43.0400611","-076.0977558","Census Tract 46, Onondaga County, New York","36","067","004600",5129,71797,1130,152,2515,602
"107","36067004600",6,"36","067","004600","46","Census Tract 46","G5020","S",3864671,0,"+43.0400611","-076.0977558","Census Tract 46, Onondaga County, New York","36","067","004600",5129,71797,1130,152,2515,602
"108","36067004600",6,"36","067","004600","46","Census Tract 46","G5020","S",3864671,0,"+43.0400611","-076.0977558","Census Tract 46, Onondaga County, New York","36","067","004600",5129,71797,1130,152,2515,602
"109","36067004800",9,"36","067","004800","48","Census Tract 48","G5020","S",1206079,0,"+43.0279451","-076.1920648","Census Tract 48, Onondaga County, New York","36","067","004800",1602,74150,217,12,867,150
"110","36067004800",9,"36","067","004800","48","Census Tract 48","G5020","S",1206079,0,"+43.0279451","-076.1920648","Census Tract 48, Onondaga County, New York","36","067","004800",1602,74150,217,12,867,150
"111","36067004800",9,"36","067","004800","48","Census Tract 48","G5020","S",1206079,0,"+43.0279451","-076.1920648","Census Tract 48, Onondaga County, New York","36","067","004800",1602,74150,217,12,867,150
"112","36067004800",9,"36","067","004800","48","Census Tract 48","G5020","S",1206079,0,"+43.0279451","-076.1920648","Census Tract 48, Onondaga County, New York","36","067","004800",1602,74150,217,12,867,150
"113","36067004800",9,"36","067","004800","48","Census Tract 48","G5020","S",1206079,0,"+43.0279451","-076.1920648","Census Tract 48, Onondaga County, New York","36","067","004800",1602,74150,217,12,867,150
"114","36067004900",4,"36","067","004900","49","Census Tract 49","G5020","S",796558,57084,"+43.0261098","-076.1769245","Census Tract 49, Onondaga County, New York","36","067","004900",1409,34402,379,34,530,512
